Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	27	27
OG0000001	28	28
OG0000002	26	26
OG0000003	25	25
OG0000004	24	24
OG0000005	22	22
OG0000006	15	15
OG0000007	13	13
OG0000008	13	13
OG0000009	11	11
OG0000010	11	11
OG0000011	10	10
OG0000012	9	9
OG0000013	9	9
OG0000014	8	8
OG0000015	8	8
OG0000016	8	8
OG0000017	6	6
OG0000018	7	7
OG0000019	7	7
OG0000020	5	5
OG0000021	7	7
OG0000022	7	7
OG0000023	4	4
OG0000024	6	6
OG0000025	6	6
OG0000026	6	6
OG0000027	4	4
OG0000028	6	6
OG0000029	6	6
OG0000030	6	6
OG0000031	6	6
OG0000032	4	4
OG0000033	5	5
OG0000034	5	5
OG0000035	5	5
OG0000036	4	4
OG0000037	5	5
OG0000038	3	3
OG0000039	5	5
OG0000040	4	4
OG0000041	2	2
OG0000042	2	2
OG0000043	4	4
OG0000044	2	2
OG0000045	4	4
OG0000046	4	4
OG0000047	4	4
OG0000048	2	2
OG0000049	4	4
OG0000050	4	4
OG0000051	4	4
OG0000052	2	2
OG0000053	3	3
OG0000054	3	3
OG0000055	4	4
OG0000056	2	2
OG0000057	4	4
OG0000058	3	3
OG0000059	2	2
OG0000060	2	2
OG0000061	3	3
OG0000062	3	3
OG0000063	2	2
OG0000064	2	2
OG0000065	3	3
OG0000066	3	3
OG0000067	3	3
OG0000068	2	2
OG0000069	3	3
OG0000070	3	3
OG0000071	3	3
OG0000072	3	3
OG0000073	2	2
OG0000074	2	2
OG0000075	3	3
OG0000076	2	2
OG0000077	3	3
OG0000078	2	2
OG0000079	2	2
OG0000080	3	3
OG0000081	2	2
OG0000082	3	3
OG0000083	3	3
OG0000084	3	3
OG0000085	3	3
OG0000086	3	3
OG0000087	3	3
OG0000088	3	3
OG0000089	3	3
OG0000090	3	3
OG0000091	3	3
OG0000092	3	3
OG0000093	3	3
OG0000094	3	3
OG0000095	3	3
OG0000096	3	3
OG0000097	3	3
OG0000098	3	3
OG0000099	2	2
OG0000100	2	2
OG0000101	1	1
OG0000102	2	2
OG0000103	1	1
OG0000104	2	2
OG0000105	1	1
OG0000106	2	2
OG0000107	1	1
OG0000108	1	1
OG0000109	1	1
OG0000110	2	2
OG0000111	2	2
OG0000112	2	2
OG0000113	2	2
OG0000114	2	2
OG0000115	1	1
OG0000116	2	2
OG0000117	2	2
OG0000118	2	2
OG0000119	1	1
OG0000120	1	1
OG0000121	1	1
OG0000122	1	1
OG0000123	1	1
OG0000124	1	1
OG0000125	2	2
OG0000126	1	1
OG0000127	2	2
OG0000128	1	1
OG0000129	1	1
OG0000130	2	2
OG0000131	2	2
OG0000132	2	2
OG0000133	2	2
OG0000134	2	2
OG0000135	2	2
OG0000136	1	1
OG0000137	1	1
OG0000138	2	2
OG0000139	2	2
OG0000140	1	1
OG0000141	2	2
OG0000142	2	2
OG0000143	2	2
OG0000144	1	1
OG0000145	1	1
OG0000146	1	1
OG0000147	1	1
OG0000148	2	2
OG0000149	1	1
OG0000150	1	1
OG0000151	2	2
OG0000152	2	2
OG0000153	1	1
OG0000154	1	1
OG0000155	1	1
OG0000156	2	2
OG0000157	2	2
OG0000158	1	1
OG0000159	1	1
OG0000160	1	1
OG0000161	1	1
OG0000162	2	2
OG0000163	1	1
OG0000164	2	2
OG0000165	1	1
OG0000166	2	2
OG0000167	2	2
OG0000168	2	2
OG0000169	1	1
OG0000170	1	1
OG0000171	1	1
OG0000172	1	1
OG0000173	1	1
OG0000174	1	1
OG0000175	2	2
OG0000176	1	1
OG0000177	2	2
OG0000178	1	1
OG0000179	1	1
OG0000180	2	2
OG0000181	1	1
OG0000182	2	2
OG0000183	1	1
OG0000184	1	1
OG0000185	1	1
OG0000186	2	2
OG0000187	1	1
OG0000188	1	1
OG0000189	1	1
OG0000190	2	2
OG0000191	1	1
OG0000192	1	1
OG0000193	1	1
OG0000194	2	2
OG0000195	2	2
OG0000196	2	2
OG0000197	1	1
OG0000198	2	2
OG0000199	1	1
OG0000200	1	1
OG0000201	2	2
OG0000202	1	1
OG0000203	2	2
OG0000204	2	2
OG0000205	2	2
OG0000206	2	2
OG0000207	2	2
OG0000208	1	1
OG0000209	2	2
OG0000210	2	2
OG0000211	2	2
OG0000212	1	1
OG0000213	2	2
OG0000214	1	1
OG0000215	2	2
OG0000216	2	2
OG0000217	2	2
OG0000218	1	1
OG0000219	1	1
OG0000220	2	2
OG0000221	2	2
OG0000222	2	2
OG0000223	2	2
OG0000224	2	2
OG0000225	2	2
OG0000226	1	1
OG0000227	1	1
OG0000228	1	1
OG0000229	2	2
OG0000230	2	2
OG0000231	1	1
OG0000232	2	2
OG0000233	2	2
OG0000234	2	2
OG0000235	2	2
OG0000236	2	2
OG0000237	2	2
OG0000238	1	1
OG0000239	2	2
OG0000240	1	1
OG0000241	1	1
OG0000242	2	2
OG0000243	2	2
OG0000244	1	1
OG0000245	2	2
OG0000246	2	2
OG0000247	2	2
OG0000248	2	2
OG0000249	2	2
OG0000250	2	2
OG0000251	2	2
OG0000252	2	2
OG0000253	3	3
OG0000254	3	3
OG0000255	3	3
OG0000256	3	3
