model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1,duplicated reactions,true positives,false positives,false negatives,ratio,jaccard distance
merlin-DFS,1201,320,427,454,0.4279749478079332,0.48693586698337293,0.4555555555555556,6.0,205.0,216.0,274.0,0.9490740740740741,0.7050359712230216
merlin-DFA,1193,320,414,459,0.4196242171189979,0.49264705882352944,0.4532130777903044,6.0,201.0,207.0,278.0,0.9710144927536232,0.706997084548105
merlin-DSA,1205,324,432,449,0.430062630480167,0.4835680751173709,0.4552486187845304,6.0,206.0,220.0,273.0,0.9363636363636364,0.7052932761087267
merlin-DSS,1234,326,436,472,0.44676409185803756,0.49537037037037035,0.4698133918770582,4.0,214.0,218.0,265.0,0.981651376146789,0.6929698708751794
merlin-BS,1251,324,461,466,0.49478079331941544,0.5197368421052632,0.506951871657754,5.0,237.0,219.0,242.0,1.082191780821918,0.660458452722063
merlin-BA,1307,334,478,495,0.5010438413361169,0.507399577167019,0.5042016806722689,5.0,240.0,233.0,239.0,1.0300429184549356,0.6629213483146068
AuReMe,423,47,367,9,0.5469728601252609,0.7138964577656676,0.619385342789598,0.0,262.0,105.0,217.0,2.4952380952380953,0.5513698630136986
autoKEGGrec,673,0,441,232,0.4906054279749478,0.5414746543778802,0.5147864184008764,7.0,235.0,199.0,244.0,1.1809045226130652,0.6533923303834808
CarveMe,1453,537,913,3,0.6951983298538622,0.39315230224321135,0.502262443438914,66.0,333.0,514.0,146.0,0.6478599221789884,0.6646525679758308
ModelSEED,1274,238,509,527,0.4718162839248434,0.4448818897637795,0.4579533941236069,1.0,226.0,282.0,253.0,0.8014184397163121,0.7030223390275953
PathwayTools,2077,810,365,902,0.407098121085595,0.5357142857142857,0.46263345195729544,1.0,195.0,169.0,284.0,1.1538461538461537,0.6990740740740741
RAVEN,3184,0,1093,2091,0.5803757828810021,0.2564575645756458,0.3557261676263596,9.0,278.0,806.0,201.0,0.34491315136476425,0.7836575875486381
merlin-BIT,665,105,536,24,0.6304801670146137,0.5634328358208955,0.5950738916256156,0.0,302.0,234.0,177.0,1.2905982905982907,0.5764375876577841
